id_event,id_section,"title",id_film,"description","rooms","url_ticket","date","time",published,soldout,reprogrammed,"reprogramcode",is_private,is_free,id_place,"created_ts","updated_ts",id_film2,id_film3,id_film4,id_film5,id_film6,id_film7,id_film8,id_film9,id_film10,"tags"
1938,72,"The Year 1952 / Land of the Pharaohs",849,"","HOYTS7",NULL,"2012-04-15","13:30:00",1,0,0,"",NULL,NULL,1,"2012-03-23 21:13:54","2012-03-23 21:13:54",846,0,0,0,0,0,0,0,0,NULL
1939,74,"Hirsch - Programa 3",828,"","Sala Leopoldo Lugones",NULL,"2012-04-15","17:00:00",1,0,0,"",NULL,NULL,3,"2012-03-23 21:15:17","2012-03-23 21:15:17",829,830,831,832,833,0,0,0,0,NULL
1940,67,"SEMINARIO OBSERVATORIO ESCUELA DE CINE DOCUMENTAL",0,"<b> ABORDAJES DEL CINE DE NO FICCIÓN</b><br>
Con Cristian Pauls.<br>
<br>
La entrada para esta actividad especial es gratuita. El ingreso está sujeto a la capacidad de cada sala.
<i>Admission to this special activity is free and subject to venue capacity.</i><br>
Para esta actividad en el Auditorio / Punto de Encuentro BAFICI asistir directamente.<br>
<i>For this activity taking place at the Auditorium / BAFICI Meeting Point no ticket is required.</i>","Auditorio",NULL,"2012-04-12","17:00:00",1,0,0,"",NULL,NULL,19,"2012-03-23 21:15:28","2012-03-27 18:05:20",0,0,0,0,0,0,0,0,0,NULL
1941,0,"La Maladie blanche / Palácios de pena",660,"","Sala 1",NULL,"2012-04-21","22:00:00",1,0,0,"",NULL,NULL,21,"2012-03-23 21:15:30","2012-03-23 21:15:30",500,0,0,0,0,0,0,0,0,NULL
1942,47,"Philippe Garrel à Digne (Second Voyage) / Ocaña, the Angel who Sings in the Ordeal",802,"","HOYTS6",NULL,"2012-04-17","21:30:00",1,0,0,"",NULL,NULL,1,"2012-03-23 21:16:31","2012-03-26 15:01:13",804,0,0,0,0,0,0,0,0,NULL
1943,91,"Cortos - Muestra - Programa 4",556,"","NULL",NULL,"2012-04-21","22:15:00",1,0,0,"",NULL,NULL,17,"2012-03-23 21:17:20","2012-03-24 13:41:15",579,581,583,557,552,0,0,0,0,NULL
1944,91,"Cortos - Muestra - Programa 3",550,"","HOYTS5",NULL,"2012-04-15","17:30:00",1,0,0,"",NULL,NULL,1,"2012-03-23 21:17:21","2012-03-23 21:17:21",576,567,585,559,0,0,0,0,0,NULL
1945,104,"Viaje a la Luna / Neil Young Journeys",683,"","HOYTS12",NULL,"2012-04-15","17:45:00",1,1,0,"",NULL,NULL,1,"2012-03-23 21:18:22","2012-04-05 21:25:52",676,0,0,0,0,0,0,0,0,NULL
1946,82,"Baumane - Programa de cortos",773,"","Auditorio",NULL,"2012-04-22","00:15:00",1,0,0,"",NULL,NULL,5,"2012-03-23 21:20:43","2012-03-27 16:12:48",774,775,776,777,778,780,779,781,782,NULL
1947,74,"Cortos - Muestra - Programa 4",556,"","HOYTS2",NULL,"2012-04-15","18:15:00",1,0,0,"",NULL,NULL,1,"2012-03-23 21:22:58","2012-03-23 21:22:58",579,581,583,557,552,0,0,0,0,NULL
1948,91,"Cortos - La Faute à Rousseau",593,"","NULL",NULL,"2012-04-22","13:30:00",1,0,0,"",NULL,NULL,12,"2012-03-23 21:23:25","2012-03-23 21:23:25",596,607,609,610,608,612,614,616,0,NULL
